"","query","pre_id","weight","n","type","xyz"
"450","720575940643268206","720575940628517839",10,1,"LHPD2a1","(101072.97, 34555.65, 3844)"
"451","720575940643268206","720575940633054059",10,1,"lLN2T_a","(118071, 58317.25, 1379)"
"452","720575940643268206","720575940642914071",10,1,NA,NA
"453","720575940643268206","720575940646083713",10,1,NA,NA
"454","720575940643268206","720575940646517625",10,1,"DL2v_adPN","(114450.1875, 56692.505, 1551)"
"455","720575940631539993","720575940601179627",10,1,NA,NA
"456","720575940631539993","720575940604779465",10,1,NA,NA
"457","720575940631539993","720575940606258780",10,1,"M_lvPNm24_L","142736, 64969, 1549"
"458","720575940631539993","720575940609179846",10,1,NA,NA
"459","720575940631539993","720575940610636566",10,1,NA,NA
"460","720575940631539993","720575940611493329",10,1,NA,NA
"461","720575940631539993","720575940615220815",10,1,NA,NA
"462","720575940631539993","720575940615789845",10,1,NA,NA
"463","720575940631539993","720575940617233647",10,1,NA,NA
"464","720575940631539993","720575940617258735",10,1,NA,NA
"465","720575940631539993","720575940617261912",10,1,NA,NA
"466","720575940631539993","720575940617482479",10,1,NA,NA
"467","720575940631539993","720575940618158599",10,1,NA,NA
"468","720575940631539993","720575940618621606",10,1,NA,NA
"469","720575940631539993","720575940620168591",10,1,NA,NA
"470","720575940631539993","720575940620588039",10,1,NA,NA
"471","720575940631539993","720575940625507496",10,1,NA,NA
"472","720575940631539993","720575940626880768",10,1,NA,NA
"473","720575940631539993","720575940627238400",10,1,NA,NA
"474","720575940631539993","720575940627272314",10,1,NA,NA
"475","720575940631539993","720575940629136992",10,1,NA,NA
"476","720575940631539993","720575940629925609",10,1,NA,NA
"477","720575940631539993","720575940631767785",10,1,NA,NA
"478","720575940631539993","720575940640895511",10,1,NA,NA
"479","720575940631539993","720575940650688897",10,1,NA,NA
"480","720575940631539993","720575940656831873",10,1,NA,NA
"481","720575940643267950","720575940603537510",9,1,NA,NA
"482","720575940643267950","720575940607082600",9,1,NA,NA
"483","720575940643267950","720575940608964898",9,1,NA,NA
"484","720575940643267950","720575940614348549",9,1,NA,NA
